unit_id,unit_text,gold_codes,pred_codes,missed,spurious,n_agreed
2db60c1d-59e3-4a2d-96e2-2d364f090249::5,"PLAIN AND SIMPLE NOT OFFENSIVE, AND ADDITIONALLY YOU ARE LUCKY i DO NOT RETURN THIS NOW ON PRINCIPLE ALONE AS IT IS YOUR 2ND OMISSION NOT CITED AS BEING REQUIRED IN PROLIFIC TASK PREVIEW MATERIAL SHOWN ON PROLIFIC BEFORE WORKERS CLICK START",Hate speech and offensive language,No offensive content,Hate speech and offensive language,No offensive content,0
6345c27e-67b9-40fa-984f-23f888d18b3a::3,"Using the r and f slur to talk about other people, calling a group of people terrorists based on ethnicity.",Hate speech and offensive language,Hate speech and offensive language; racial remark,,racial remark,1
9fb262f0-c5b4-4b87-a678-6dda4d838ea2::1,"The messages from Account 2 contained offensive language and personal attacks, including derogatory comments about someone's sexuality, intelligence, and personal life. However, they varied in their degree of severity and the context in which they we",Hate speech and offensive language; Mix of offensive and non-offensive; Threats of violence,Hate speech and offensive language,Mix of offensive and non-offensive; Threats of violence,,1
7cfda785-98a2-472e-a1e6-6a8ed3097a46::4,"The first 2 messages do not seem offensive until the 3rd one. The 3rd message is highly offensive and threatening, I would suspend based on that.",Hate speech and offensive language; Threats of violence,One-off offensive; Threats of violence,Hate speech and offensive language,One-off offensive,1
7cfda785-98a2-472e-a1e6-6a8ed3097a46::5,"All 3 messages are not offensive at all, do not contain offensive language. I would not suspend based on that.",No offensive content,Do not suspend; No offensive content,,Do not suspend,1
a19f544e-7e34-42f0-b9b1-0675b9689d29::1,"The user is using harmful language. Saying things like ""I hope you die"" should not be allowed on any platform. He is also using homophobic rhetoric which can be greatly offensive to those in the LGBT community.",Death wish; Hate speech and offensive language; derogatory remarks,Death wish; Hate speech and offensive language; Threats of violence,derogatory remarks,Threats of violence,2
bca2b95f-7226-4f43-82f4-830afcaac965::4,"The first was negative but hardly offensive. The second seems innocent, but following the first it was hard to be sure. The third and seventh should have been enough on their own - looking at them all together and even the non-offensive ones seem off",Consistent offensive behavior; Not too offensive,Mix of offensive and non-offensive; one message is enough (offensive),Consistent offensive behavior; Not too offensive,Mix of offensive and non-offensive; one message is enough (offensive),0
246aa216-be21-4efa-9eff-7f1a95d1d02d::2,It's a death threat.,Death wish,Death wish; Threats of violence,,Threats of violence,1
529595bf-86c8-4a2d-9ffb-8cc14acc2958::1,Multiple offensive posts in a row.,Consistent offensive behavior; Majority offesnive,Consistent offensive behavior,Majority offesnive,,1
77473516-5965-4985-8200-c95319c9d827::2,Message 1 was inappropriate and threatening,Hate speech and offensive language; Threats of violence,Threats of violence,Hate speech and offensive language,,1
4b65d56f-9409-4e89-8d59-32f2f92bf399::3,I don't think that negative comments specifically aimed at sexually are grounds for suspension.,Hate speech and offensive language; Not too offensive,Not too offensive,Hate speech and offensive language,,1
6a764ff8-ce26-423a-991a-3f0441334cb2::3,Racist person using derogatory terms to others.,Hate speech and offensive language,Hate speech and offensive language; Poster is a bad person,,Poster is a bad person,1
33a7ec32-7245-4843-9294-2caeb54be5c0::5,"No offensive remarks seen in any of the 4 messages, only positive or inquisitive ones.",No offensive content,No offensive content; positive content,,positive content,1
e5aac9cd-6015-4636-92c1-78d14a5ac996::4,"There was one message that was offensive, but the rest of them are normal. If there was one more offensive message, I would have chosen to suspend.",Normal behavior; One-off offensive,Ban if behavior continues; One-off offensive,Normal behavior,Ban if behavior continues,1
ad582db9-01fb-46c2-af45-c5eb21b93152::4,Threatened to kill someone and very violent manner.,Threats of violence,Death wish; Threats of violence,,Death wish,1
9c1df86e-e2b6-4eb6-ab15-180374fa91bc::2,this is a sign of violence and someone may be serious about this,Consequences beyond suspencion; Threats of violence,Threats of violence,Consequences beyond suspencion,,1
2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Consistent offensive behavior; Death wish; Extreme offensive; Hate speech and offensive language,Consistent offensive behavior; Death wish; Hate speech and offensive language; Threats of violence,Extreme offensive,Threats of violence,3
fd39d70c-f8e4-42b5-856b-08f44020686c::2,The first mention of killing someone results in an automatic suspension.,Threats of violence,Death wish; Threats of violence; one message is enough (offensive),,Death wish; one message is enough (offensive),1
e00c38ec-0c24-4ca1-b8bf-9228303ec39a::1,This account needs to be suspended because they are saying offensive and hateful words. Multiple sentences of offensive speech were used.,Consistent offensive behavior; Hate speech and offensive language,Hate speech and offensive language,Consistent offensive behavior,,1
5bcd81ba-db12-4a52-b9f6-16e94d8405ad::1,does not contribute to positive environment i'd like to see in an online community. use of highly derogatory and discriminatory language.,Consequences beyond suspencion; Hate speech and offensive language,Hate speech and offensive language; negative consequences,Consequences beyond suspencion,negative consequences,1
a7cbb72d-1707-41a6-b769-68c7df9643df::1,They wished death upon people and pets and also used foul and offensive language in nearly every message.,Death wish; Hate speech and offensive language,Consistent offensive behavior; Death wish; Hate speech and offensive language; Threats of violence,,Consistent offensive behavior; Threats of violence,2
4984471b-9109-4812-8748-9c8e6fc829c0::2,This is so offensive like saying going to shoot.,Hate speech and offensive language; Threats of violence,Threats of violence,Hate speech and offensive language,,1
9ca241ab-e7b0-4e11-abf1-0baf9d8a1026::4,"Although sometimes this account can use some heated language and become aggressive, the majority of the posts I saw were very tame.",Normal behavior; One-off offensive,Mix of offensive and non-offensive,Normal behavior; One-off offensive,Mix of offensive and non-offensive,0
688b4ffc-e168-4496-bcf5-d42b90f45df5::1,This is another case of immaturity at its best. This should be banned by that fact alone. Too young to have an account.,Contextual understanding,Permanent ban; Poster is a bad person,Contextual understanding,Permanent ban; Poster is a bad person,0
3820a2cf-9127-4286-8f06-13a8111285e8::5,cause the user use a formal language and there is no threats in the message,No offensive content,No offensive content; Normal behavior,,Normal behavior,1
8dcdc361-034c-4c7b-b798-06a03e4c59a3::4,The majority of the messages from this account are not offensive and are random pieces of conversation. I gave this a low confidence score because it could still be suspended from the small amount of offensive death threat tweets given.,Expressed uncertainty; Normal behavior; one message is enough (offensive),Death wish; Expressed uncertainty; Mix of offensive and non-offensive; Threats of violence,Normal behavior; one message is enough (offensive),Death wish; Mix of offensive and non-offensive; Threats of violence,1
8a2bd6fd-9a54-4ba0-86bb-4fcf5797b655::1,Threats of violence and hopes of inflicting cancer on someone. They are a bad poster.,Threats of violence,Death wish; Poster is a bad person; Threats of violence,,Death wish; Poster is a bad person,1
20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Extreme offensive; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Extreme offensive,Consistent offensive behavior,2
06e8469e-271d-4f06-8019-e49e17f01c6b::2,Bring people down by name calling then telling people they want to kill someone. This person needs to be on some type of watch list if not in some mental health rehab.,Consequences beyond suspencion; Death wish,Consequences beyond suspencion; Death wish; Hate speech and offensive language; Poster is a bad person; Threats of violence,,Hate speech and offensive language; Poster is a bad person; Threats of violence,2
4e926ade-dd83-4dd9-8c60-ef3b6f8f5c0e::4,Although the offensive message was quite graphic it was unique among the other messages. While unfortunate it just wasn't enough to fully suspend the account.,Not too offensive; One-off offensive,One-off offensive,Not too offensive,,1
50b6bc56-df8e-42b4-abb9-bec6b425670e::3,"Account 5 had mixed offensive and non-offensive messages, however, the severity of the offensive ones greatly outweigh the non-offensive ones. This is because the messages contain homophobic slurs, brutally insulting someone's family, and racism.",Extreme offensive; Hate speech and offensive language; Mix of offensive and non-offensive; racial remark,Hate speech and offensive language; Mix of offensive and non-offensive; racial remark,Extreme offensive,,3
91d9b5dd-39c8-48bf-8720-abe1ee727444::4,This message suggests frustration with lack of evidence in someone's tweet and explains the decision to block the person. It has a harsh word but it doesn't pose to commit harm.,No offensive content; Not too offensive,Not too offensive,No offensive content,,1
4403b5d3-138f-46fd-8120-8fafc7639941::5,uplifting,Calm and thoughtful,positive content,Calm and thoughtful,positive content,0
2470478f-1b93-4fdd-8841-0a9b0fdde878::2,"Threats of murder, repeated use of the f-slur with genuine hatred.",Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Death wish; Hate speech and offensive language; Threats of violence,Consistent offensive behavior,Death wish,2
2470478f-1b93-4fdd-8841-0a9b0fdde878::5,"Just seems like a normal person's account, or at least an account that isn't wildly against every TOS known to man.",Normal behavior,No offensive content; Normal behavior,,No offensive content,1
4ed5e9b1-5022-4acc-8c91-77a3a602831a::4,"I reviewed 8 messages, and only 2 were offensive. In those 2 messages they kept saying that they were going to kill whoever they were talking to. I should have reviewed more to see if that type of communication continued. If so, a definite suspend.",Ban if behavior continues; Death wish,Ban if behavior continues; Death wish; Needed to look at more messages; Threats of violence,,Needed to look at more messages; Threats of violence,2
