unit_id,unit_text,gold_codes,pred_codes,missed,spurious,n_agreed
c5c9cae2-2617-48fa-adb7-c0e822b8b5ff::1,"Account 5 contains nothing but hurtful and suicidal comments that have only the intent to harm someone's psyche.

Message 2: ""Your dog deserves to die like the stupid dog he is. Where is the death when we need it?"" Is the most hurtful of them all.",Consistent offensive behavior; Death wish,Consistent offensive behavior; Death wish; Extreme offensive; Harm other person; Majority offesnive; Threats of violence; negative consequences,,Extreme offensive; Harm other person; Majority offesnive; Threats of violence; negative consequences,2
c5c9cae2-2617-48fa-adb7-c0e822b8b5ff::3,"Account 1 has a history of insulting others with profanity and vulgar slurs. In message 1, the account calls someone a faggot and writes their opinion in the most unprofessional manner.

In Message 3, the account insults and bullies someone's family.",Consistent offensive behavior; Hate speech and offensive language,Consistent offensive behavior; Hate speech and offensive language; bullying; insult,,bullying; insult,2
a5ac73fc-5886-46ff-9721-5919ae1bd1ea::2,Multiple slurs were said and also threatening to kill someone and wishing death upon someone.,Death wish; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Death wish; Extreme offensive; Harm other person; Hate speech and offensive language; Threats of violence,,Consistent offensive behavior; Extreme offensive; Harm other person,3
a5ac73fc-5886-46ff-9721-5919ae1bd1ea::3,Wishing death and threatening people. Also slurs and hints of racism.,Death wish; Hate speech and offensive language; Threats of violence,Death wish; Hate speech and offensive language; Threats of violence; racial remark,,racial remark,3
a5ac73fc-5886-46ff-9721-5919ae1bd1ea::5,Looks like ordinary messages. Nothing wrong here.,No offensive content; Normal behavior,No offensive content,Normal behavior,,1
3a71a704-c4b8-415f-bd4d-ce52c8458a98::5,"This account has posts that seem genuine and supportive, probably indicative of someone who is level, civil, and not angry",Calm and thoughtful; Contextual understanding,Calm and thoughtful; No offensive content; Normal behavior; positive content,Contextual understanding,No offensive content; Normal behavior; positive content,1
f855b122-9389-4902-8705-9de71d54558f::3,"Even though the first and third messages are offensive, they are only verbal attacks and do not discuss or threaten violence.",Not too offensive,Mix of offensive and non-offensive; Not too offensive; insult,,Mix of offensive and non-offensive; insult,1
d7a83ebf-ff90-45ee-946f-bf3053a6cda0::5,"I went through 6 messages and none were offensive. However, I wish I had chosen to not suspend the account with a confidence of 4 because I don't know what other potential messages could've said.",Expressed uncertainty; No offensive content,Expressed uncertainty; No offensive content; Would revise the decision,,Would revise the decision,2
c502eed5-3043-4005-ac52-38ccd6462739::1,"Profanity, epithets, and general anger in every post reviewed. The decision to suspend was an easy one.",Consistent offensive behavior; Hate speech and offensive language,Consistent offensive behavior; Hate speech and offensive language; Obvious an clear suspension,,Obvious an clear suspension,2
c502eed5-3043-4005-ac52-38ccd6462739::2,The majority of their posts were offensive and violent. This is a person who should not be on social media.,Majority offesnive; Permanent ban,Consistent offensive behavior; Majority offesnive; Obvious an clear suspension; Poster is a bad person; Threats of violence,Permanent ban,Consistent offensive behavior; Obvious an clear suspension; Poster is a bad person; Threats of violence,1
ad8d5dae-f634-44e9-88f4-57a87a073c3a::5,I didn't find any of these messages to be offensive and thus didn't see any reason to suspend the account.,No offensive content,Do not suspend; No offensive content,,Do not suspend,1
e085b63a-4193-4860-a0ed-50cab0931043::1,constant use of slurs and threats,Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,,Consistent offensive behavior,2
7342e424-a70e-4456-b4b2-ca7f432c785c::4,"Severity of the Message: The language used is highly derogatory and threatening. Such messages are not only offensive but also potentially harmful, and they create a hostile environment. The intent behind the message is clear: to insult and threaten,",Appeal to intent; Hate speech and offensive language; Threats of violence; negative consequences,Extreme offensive; Harm other person; Hate speech and offensive language; derogatory remarks; insult; negative consequences,Appeal to intent; Threats of violence,Extreme offensive; Harm other person; derogatory remarks; insult,2
7342e424-a70e-4456-b4b2-ca7f432c785c::5,"In summary, the decision to ""Do not suspend"" is based on the interpretation that the message’s content does not clearly breach community guidelines or standards for offensive behavior, and more context or evidence would be needed to justify a suspens",No offensive content,Contextual understanding; Do not suspend,No offensive content,Contextual understanding; Do not suspend,0
5cc4bd9f-bb5f-4846-bd05-fdd182058a61::5,Looks like someone expressing their thoughts online. No reason to suspend them.,Personal opinions and thoughts,Do not suspend; No offensive content; Normal behavior; Personal opinions and thoughts,,Do not suspend; No offensive content; Normal behavior,1
1bc0fc0a-0cf5-4c30-8056-53bc860179f0::3,2 of the 3 messages were offensive.,Majority offesnive,Consistent offensive behavior; Majority offesnive; Mix of offensive and non-offensive,,Consistent offensive behavior; Mix of offensive and non-offensive,1
26ac660d-c41e-4b84-9832-a6bf400ce545::3,Using homophobic slurs as well as racist language against others.,Hate speech and offensive language; racial remark,Hate speech and offensive language; insult; racial remark,,insult,2
0860c28d-eaaa-48ea-bd88-a46b9da590f5::2,Glorifying violence. Easy ban.,Threats of violence,Harm other person; Obvious an clear suspension,Threats of violence,Harm other person; Obvious an clear suspension,0
0860c28d-eaaa-48ea-bd88-a46b9da590f5::3,Vulgar slur in the initial sentence (zero tolerance policy). Follow up sentence just supports my claim. Repeated slur.,Consistent offensive behavior; Hate speech and offensive language,Hate speech and offensive language; one message is enough (offensive),Consistent offensive behavior,one message is enough (offensive),1
08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Death wish; Hate speech and offensive language; Threats of violence,Death wish; Extreme offensive; Hate speech and offensive language; Obvious an clear suspension; Threats of violence,,Extreme offensive; Obvious an clear suspension,3
0ffbd9e8-1b9f-49dc-9037-61c90a1fcb14::2,"Immediately saw the graphic death threat and decided to suspend. After having done two accounts already, I felt justified suspending without looking at other messages.",Death wish; one message is enough (offensive),Death wish; Harm other person; Obvious an clear suspension; Threats of violence; one message is enough (offensive),,Harm other person; Obvious an clear suspension; Threats of violence,2
4f48f1a1-52d1-46dc-87c7-f1ed1f64c83f::4,Threatening to kill someone should be an automatic suspension.,Threats of violence,Obvious an clear suspension; Threats of violence; one message is enough (offensive),,Obvious an clear suspension; one message is enough (offensive),1
4f09b2ed-7a8b-4d32-b64a-b6b75e5db72f::3,About half of the messages from this account were offensive.,Mix of offensive and non-offensive,Consistent offensive behavior; Mix of offensive and non-offensive,,Consistent offensive behavior,1
709e0d0c-1354-43ff-a628-ef4a2981b0c8::4,I was really not sure of this. Message three made me think of suspending them but all the other messages seemed relatively normal so I wasn't sure.,Expressed uncertainty; Normal behavior; One-off offensive,Expressed uncertainty; One-off offensive,Normal behavior,,2
a4225b3b-aa17-483f-92ea-86b713502084::5,Very positive message.,positive content,No offensive content; positive content,,No offensive content,1
94d90d90-65c3-49e7-a62d-e1b7738e20c8::2,3 out of 4 messages were offensive,Majority offesnive,Consistent offensive behavior; Majority offesnive,,Consistent offensive behavior,1
e1155a7e-7ace-4083-adcf-27d2ae8bdd4c::1,this person is using derogatory and demeaning phrases which is never okay. any sort of death threats should not be taking lightly no matter what's the case.,Death wish; Hate speech and offensive language; Threats of violence,Hate speech and offensive language; Threats of violence; derogatory remarks; unjustifiable,Death wish,derogatory remarks; unjustifiable,2
e1155a7e-7ace-4083-adcf-27d2ae8bdd4c::3,clear racism and family death threats and name calling. all things that should be considered being banned from any social media platforms and looked into for therapy.,Death wish; Hate speech and offensive language; Threats of violence,Consequences beyond suspencion; Death wish; Extreme offensive; Harm other person; Hate speech and offensive language; Permanent ban; Threats of violence; derogatory remarks; insult; racial remark,,Consequences beyond suspencion; Extreme offensive; Harm other person; Permanent ban; derogatory remarks; insult; racial remark,3
f6855f0d-9705-4cd9-a67c-ee8cd8d73460::1,account 3 used foul words but it seems like he was being bothered,Contextual understanding; Hate speech and offensive language,Appeal to intent; Contextual understanding; Hate speech and offensive language,,Appeal to intent,2
88879a30-8734-4993-8d03-16a361feecef::2,This person is threatening violence towards another person and using inappropriate language and cuss words. Two of the three messages I viewed contain hateful content and this person's account should definitely be suspended.,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Hate speech and offensive language; Majority offesnive; Obvious an clear suspension; Threats of violence,,Majority offesnive; Obvious an clear suspension,3
88879a30-8734-4993-8d03-16a361feecef::5,"There's nothing but positive content in these posts, and there's no reason to suspend this person's account.",No offensive content,Do not suspend; No offensive content; positive content,,Do not suspend; positive content,1
a37571ff-8f28-4459-935f-08b72087e111::4,I did not detect anything offensive although I only rolled through two messages it seemed the person was coming from a good place,No offensive content,No offensive content; positive content,,positive content,1
8c0b7da8-5419-4daa-98ff-7194fce17c0d::4,threatened at least two people with death,Threats of violence,Consistent offensive behavior; Death wish; Threats of violence,,Consistent offensive behavior; Death wish,1
fefb2330-548d-44b7-a374-a6957a756dc0::1,The type of comment this person was posting was really offensive and has to be taken off the platform.,Hate speech and offensive language,Extreme offensive; Obvious an clear suspension,Hate speech and offensive language,Extreme offensive; Obvious an clear suspension,0
fefb2330-548d-44b7-a374-a6957a756dc0::2,This person was brutally offensive and had to be taken off the platform as soon as possible.,Hate speech and offensive language; Permanent ban,Extreme offensive; Obvious an clear suspension,Hate speech and offensive language; Permanent ban,Extreme offensive; Obvious an clear suspension,0
fefb2330-548d-44b7-a374-a6957a756dc0::5,"Almost all the comment were nice and cool, that's why I chose not to suspended this account.",Calm and thoughtful,Do not suspend; No offensive content; positive content,Calm and thoughtful,Do not suspend; No offensive content; positive content,0
080dfc47-4146-4285-9449-05ee749c3449::4,"They were not offensive, the two messages talks about excitement and messages that are not appropriate in society, and such a message has been blocked. That's why I did not suspend it. It was a message that carried good words and not bad words at all",No offensive content; positive content,Do not suspend; No offensive content; Not offensive at all,positive content,Do not suspend; Not offensive at all,1
87f87d7b-4b52-467a-93ed-face4ab8ccb4::2,"Death threats should mean account termination, not just suspension.",Permanent ban; Threats of violence,Death wish; Permanent ban,Threats of violence,Death wish,1
87f87d7b-4b52-467a-93ed-face4ab8ccb4::3,"The first message was suspension-worthy in my opinion.  I just wanted to see if the next message followed in the same vein.  I don't know the policies for this presumed platform, so I have to go by what I think is no good.  Homophobia is a no-go.",Hate speech and offensive language; Need to know policy and TOS,Hate speech and offensive language; Need to know policy and TOS; one message is enough (offensive),,one message is enough (offensive),2
563c29ae-5957-43e7-8456-64668a5f47c8::2,I should have just clicked suspend after the first message. But violence in message 1 plus slurs in message 2 is more than enough for me.,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Hate speech and offensive language; Obvious an clear suspension; Threats of violence; Would revise the decision; one message is enough (offensive),,Obvious an clear suspension; Would revise the decision; one message is enough (offensive),3
1e729b97-110b-416a-9398-8f7e0a984dcc::2,There was a lot of offensive language and slurs used along with threats of violence. This account should not be allowed to continue to post.,Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Hate speech and offensive language; Permanent ban; Threats of violence,,Permanent ban,3
e7b90660-bf19-40df-bdc3-a382bd0f3ed8::2,uses very strong language and death threats,Hate speech and offensive language; Threats of violence,Death wish; Extreme offensive; Threats of violence,Hate speech and offensive language,Death wish; Extreme offensive,1
5da998f3-ab70-4dbb-9b1e-1d1008e85512::1,This is mean spirited and contains a slur against one's sexual preference--it's not ok to post and should be suspended.,Hate speech and offensive language,Hate speech and offensive language; sexual discrimination,,sexual discrimination,1
2db60c1d-59e3-4a2d-96e2-2d364f090249::5,"PLAIN AND SIMPLE NOT OFFENSIVE, AND ADDITIONALLY YOU ARE LUCKY i DO NOT RETURN THIS NOW ON PRINCIPLE ALONE AS IT IS YOUR 2ND OMISSION NOT CITED AS BEING REQUIRED IN PROLIFIC TASK PREVIEW MATERIAL SHOWN ON PROLIFIC BEFORE WORKERS CLICK START",Hate speech and offensive language,No offensive content,Hate speech and offensive language,No offensive content,0
524a640d-323a-46ab-8efd-9af2c6c29d5b::2,Someone threatens to kill another person.,Threats of violence,Death wish; Threats of violence,,Death wish,1
104190a0-7c07-43df-8917-bc03a45a7148::4,Threatening to kill someone with a gun is at minimum a suspension.,Threats of violence,Death wish; Harm other person; Obvious an clear suspension; Threats of violence,,Death wish; Harm other person; Obvious an clear suspension,1
c3ef6da6-167c-4a76-b4fa-836d66e121d4::1,"Immediately was using vulgar and derogatory language towards another person, not following the terms of service",Hate speech and offensive language; Need to know policy and TOS,Harm other person; Hate speech and offensive language; derogatory remarks; insult,Need to know policy and TOS,Harm other person; derogatory remarks; insult,1
6345c27e-67b9-40fa-984f-23f888d18b3a::3,"Using the r and f slur to talk about other people, calling a group of people terrorists based on ethnicity.",Hate speech and offensive language,Hate speech and offensive language; racial remark,,racial remark,1
9845df85-7df4-4cd8-a37e-019423611a3f::5,This is a very positive message. Tha author is complementing the people in her life that was an influence to them in a positive way. She/He was able to start the venture because of the great people around Him/Her,Calm and thoughtful; Personal opinions and thoughts,No offensive content; positive content,Calm and thoughtful; Personal opinions and thoughts,No offensive content; positive content,0
99b188e5-7a7e-415c-a0a0-fc526b70df99::4,This account had messages where they spoke of violence and threatened to kill another individual. That to me is an immediate means for suspension.,Hate speech and offensive language; Threats of violence,Death wish; Obvious an clear suspension; Threats of violence,Hate speech and offensive language,Death wish; Obvious an clear suspension,1
4f735381-9724-44b2-9342-ac59dc98703b::2,I tried to always read at least two messages. I don't know why I continued to read as the first two alone were offensive enough to justify suspending in my opinion. I'm surprised my confidence wasn't a 5 on this one.,Consistent offensive behavior; Would revise the decision,Obvious an clear suspension; Would revise the decision,Consistent offensive behavior,Obvious an clear suspension,1
2b8b56f8-c05a-42fb-b4df-0c65b98aaa30::2,Both messages are extremely offensive and was very easy to suspend them.,Hate speech and offensive language,Consistent offensive behavior; Extreme offensive; Obvious an clear suspension,Hate speech and offensive language,Consistent offensive behavior; Extreme offensive; Obvious an clear suspension,0
7cfda785-98a2-472e-a1e6-6a8ed3097a46::1,"They should be suspended based on the 3 messages, all 3 are highly offensive and down right rude and disrespectful.",Consistent offensive behavior; Hate speech and offensive language,Consistent offensive behavior; Extreme offensive; Majority offesnive; Obvious an clear suspension,Hate speech and offensive language,Extreme offensive; Majority offesnive; Obvious an clear suspension,1
7cfda785-98a2-472e-a1e6-6a8ed3097a46::2,"Both messages are highly offensive, the first one is threatening a person's life. I would suspend based on that.",Consistent offensive behavior; Threats of violence,Extreme offensive; Threats of violence; one message is enough (offensive),Consistent offensive behavior,Extreme offensive; one message is enough (offensive),1
ec167a1b-45f9-468d-8710-e649e58705a5::5,"Although I did not have the same degree of confidence, I felt with good certainty that there was nothing offensive enough to suspend the account.",Expressed uncertainty; No offensive content,Do not suspend; Expressed uncertainty; Not too offensive,No offensive content,Do not suspend; Not too offensive,1
c44e69cf-f4f8-49b8-b6bd-dd591e275204::3,Account 1 made extremely offensive remarks that would be classified as verbal assault if said face-to-face in real life.,Hate speech and offensive language,Extreme offensive; Harm other person; insult,Hate speech and offensive language,Extreme offensive; Harm other person; insult,0
d0473f1c-a3dc-4c35-b5ea-03f485fddaab::1,"From the five reviewed posts, ALL were offensive - using violent or obscene language. Easy decision to suspend the account.",Consistent offensive behavior; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Extreme offensive; Majority offesnive; Obvious an clear suspension,Hate speech and offensive language; Threats of violence,Extreme offensive; Majority offesnive; Obvious an clear suspension,1
11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Death wish; Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Death wish; Extreme offensive; Harm other person; Hate speech and offensive language; Majority offesnive; Poster is a bad person; bullying,Threats of violence,Consistent offensive behavior; Extreme offensive; Harm other person; Majority offesnive; Poster is a bad person; bullying,2
11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.","Consequences beyond suspencion; Death wish; Hate speech and offensive language; Normal behavior; Threats of violence; need to contact police, or authorities.; one message is enough (offensive)","Consequences beyond suspencion; Death wish; Harm other person; Hate speech and offensive language; One-off offensive; Threats of violence; need to contact police, or authorities.; one message is enough (offensive)",Normal behavior,Harm other person; One-off offensive,6
bca2b95f-7226-4f43-82f4-830afcaac965::4,"The first was negative but hardly offensive. The second seems innocent, but following the first it was hard to be sure. The third and seventh should have been enough on their own - looking at them all together and even the non-offensive ones seem off",Consistent offensive behavior; Not too offensive,Expressed uncertainty; Mix of offensive and non-offensive; Not too offensive; one message is enough (offensive),Consistent offensive behavior,Expressed uncertainty; Mix of offensive and non-offensive; one message is enough (offensive),1
69f9c55d-cf8d-442c-b519-f31f41ed737a::4,HE IS STATING A FACT ABOUT HOW PEOPLE SHOULD BACK UP THEIR CLAIMS WITH EVIDENCE TO PROVE,Personal opinions and thoughts,No offensive content,Personal opinions and thoughts,No offensive content,0
a058f04f-b6f7-449f-9463-3ea180669f60::2,"I chose to suspend this account because of the life-threatening statement. Plus, it was followed by the act of enjoyment and a horrific description of the threat.",Consistent offensive behavior; Threats of violence,Extreme offensive; Harm other person; Threats of violence,Consistent offensive behavior,Extreme offensive; Harm other person,1
9c759a8c-5afc-41ad-adb6-e453251c9f4d::1,"Very offensive, hateful, and biased behavior and account needs to be suspended",Extreme offensive; Hate speech and offensive language,Hate speech and offensive language,Extreme offensive,,1
b0ef15f5-eccf-4595-9895-10b9c3392c42::1,"The message contains hate speech and a severe threat, making it highly offensive. It uses derogatory language and wishes harm upon someone, which is unacceptable behavior.",Death wish; Hate speech and offensive language; Threats of violence,Extreme offensive; Harm other person; Hate speech and offensive language; Threats of violence; derogatory remarks,Death wish,Extreme offensive; Harm other person; derogatory remarks,2
b6b0dd0d-1f6d-4ee0-810f-69707200d1b6::3,The message contained very offensive language that was targeted towards someone else.,Hate speech and offensive language,Hate speech and offensive language; insult,,insult,1
246aa216-be21-4efa-9eff-7f1a95d1d02d::2,It's a death threat.,Death wish,Threats of violence,Death wish,Threats of violence,0
b4f2aceb-f109-4ece-8c52-516dff26824f::2,The user threatened to kill people and used homophobic language; pretty clear suspend situation.,Hate speech and offensive language; Permanent ban; Threats of violence,Death wish; Hate speech and offensive language; Obvious an clear suspension; Threats of violence,Permanent ban,Death wish; Obvious an clear suspension,2
c696dd17-c9c8-4a83-a608-28fd47b94dd5::3,The user uses inappropriate language and is extremely rude and uses harmful words directed at people.,Harm other person; Hate speech and offensive language; insult,Consistent offensive behavior; Harm other person; Hate speech and offensive language; insult,,Consistent offensive behavior,3
77473516-5965-4985-8200-c95319c9d827::2,Message 1 was inappropriate and threatening,Hate speech and offensive language; Threats of violence,Threats of violence,Hate speech and offensive language,,1
754e3ee2-77d3-41ba-821e-3d16646e9e1e::1,This person has nothing positive to add to any conversation. Good riddance to their hatefulness.,Consistent offensive behavior,Consistent offensive behavior; Obvious an clear suspension; Poster is a bad person,,Obvious an clear suspension; Poster is a bad person,1
b63113e4-de0c-4278-a1df-c8c49b7f45ce::3,A whole bunch of nasty words. It all seemed like an attack.,Consistent offensive behavior; Threats of violence,Consistent offensive behavior; Harm other person; Hate speech and offensive language; Majority offesnive; insult,Threats of violence,Harm other person; Hate speech and offensive language; Majority offesnive; insult,1
15ca9f16-8eb2-4934-908f-c8131460b85b::2,This person seemed like an angry punk and was directing vicious threats at other members. Not acceptable.,Poster is a bad person; Threats of violence,Harm other person; Poster is a bad person; Threats of violence,,Harm other person,2
cb472703-21d2-478b-9176-6c5e4e3609cc::4,Potential of causing online harassment with the way the account owner writes.,Harm other person,Harm other person; negative consequences,,negative consequences,1
6a764ff8-ce26-423a-991a-3f0441334cb2::3,Racist person using derogatory terms to others.,Hate speech and offensive language,Hate speech and offensive language; Poster is a bad person; derogatory remarks; insult; racial remark,,Poster is a bad person; derogatory remarks; insult; racial remark,1
33a7ec32-7245-4843-9294-2caeb54be5c0::1,Derogatory terms and the wishes of death of humans/animals.,Death wish; Hate speech and offensive language,Death wish; Hate speech and offensive language; Threats of violence; derogatory remarks,,Threats of violence; derogatory remarks,2
33a7ec32-7245-4843-9294-2caeb54be5c0::3,Derogatory remarks.,Hate speech and offensive language,derogatory remarks,Hate speech and offensive language,derogatory remarks,0
33a7ec32-7245-4843-9294-2caeb54be5c0::5,"No offensive remarks seen in any of the 4 messages, only positive or inquisitive ones.",No offensive content,No offensive content; positive content,,positive content,1
46f6bb91-10f9-48c8-aa76-72cd972429f8::2,"A lot of extreme language and threats, and thus definitely suspending",Obvious an clear suspension; Threats of violence,Consistent offensive behavior; Extreme offensive; Obvious an clear suspension; Threats of violence,,Consistent offensive behavior; Extreme offensive,2
56d821b6-60da-437e-b2c3-f1b67d769d39::3,"The user made comments toward another user, berating them and using slurs against the LGBTQ+ community.",Hate speech and offensive language,Hate speech and offensive language; insult,,insult,1
ad582db9-01fb-46c2-af45-c5eb21b93152::4,Threatened to kill someone and very violent manner.,Threats of violence,Death wish; Harm other person; Threats of violence,,Death wish; Harm other person,1
e333043d-2079-4f68-aab0-a60fa33898ff::2,"User posted a lot of violent and homophobic comments, talked about killing people a lot, and made offensive statements about women.",Hate speech and offensive language; Threats of violence,Consistent offensive behavior; Death wish; Extreme offensive; Hate speech and offensive language; Majority offesnive; Threats of violence; sexual discrimination,,Consistent offensive behavior; Death wish; Extreme offensive; Majority offesnive; sexual discrimination,2
2547cbaa-70f8-48f7-a254-c46b59cd05bb::1,The comments were very cruel and should not be allowed.,Hate speech and offensive language,Extreme offensive; Harm other person; unjustifiable,Hate speech and offensive language,Extreme offensive; Harm other person; unjustifiable,0
9c1df86e-e2b6-4eb6-ab15-180374fa91bc::2,this is a sign of violence and someone may be serious about this,Consequences beyond suspencion; Threats of violence,Harm other person; Threats of violence; scary,Consequences beyond suspencion,Harm other person; scary,1
32be39db-f881-4abe-8804-3ca4460756e8::1,"A horrible hateful person, full of slurs and rude words",Hate speech and offensive language; Poster is a bad person,Consistent offensive behavior; Hate speech and offensive language; Poster is a bad person; insult,,Consistent offensive behavior; insult,2
2ee6b9be-6ea5-4dbf-8780-7e22df0d7db7::1,All of their messages are extremely offensive which includes not only death threats but also derogatory terms,Consistent offensive behavior; Death wish; Extreme offensive; Hate speech and offensive language,Consistent offensive behavior; Extreme offensive; Majority offesnive; Threats of violence; derogatory remarks,Death wish; Hate speech and offensive language,Majority offesnive; Threats of violence; derogatory remarks,2
e2c9b5b5-faf2-468c-9b31-f5f0444d460c::1,Pattern of continuous insults and wishing death on animals.,Consistent offensive behavior; Death wish; insult,Consistent offensive behavior; Extreme offensive; insult,Death wish,Extreme offensive,2
80a0d275-1d07-4992-9eb3-50ff7ebdc3db::2,"Again, threatening to kill someone is scary and gross. People who speak this way to others should be suspended and unable to use their account or access the platform.",Threats of violence,Threats of violence; scary,,scary,1
80a0d275-1d07-4992-9eb3-50ff7ebdc3db::4,"The first two messages were fine, but the threatening to kill someone is offensive and scary. It is not an appropriate message to send someone.",Threats of violence,Death wish; Harm other person; One-off offensive; scary,Threats of violence,Death wish; Harm other person; One-off offensive; scary,0
358a8cdb-b127-494c-9efc-e37528c23e53::3,Considering if the message had a significant impact on others or if it was seen as less harmful in the given context.,Contextual understanding,Contextual understanding; negative consequences,,negative consequences,1
c83da7ba-5a17-4a5f-9dee-fc3ab1e749a5::1,"The words chosen to be written by this person are sickening. They deserve no social media presence, and I hope they never use these words in real life. If they use such inhumane words in their day to day, I hope I never have the pain of meeting them.",Consequences beyond suspencion; Hate speech and offensive language,Extreme offensive; Permanent ban; Poster is a bad person,Consequences beyond suspencion; Hate speech and offensive language,Extreme offensive; Permanent ban; Poster is a bad person,0
e12acac9-85cf-4d27-8cfe-574a2ebf661e::5,that was appreciative statement rather,positive content,No offensive content; positive content,,No offensive content,1
9968ac18-8d60-46f2-8a6a-a521303c3583::3,bad verbiage and mean statements were directed at an individual.,Hate speech and offensive language,insult,Hate speech and offensive language,insult,0
9968ac18-8d60-46f2-8a6a-a521303c3583::4,The third message was a red flag. Very offensive and should be suspended.,one message is enough (offensive),Obvious an clear suspension; one message is enough (offensive),,Obvious an clear suspension,1
19957cb7-91aa-4873-a122-ac2789b4260d::2,Ver negative comment,Hate speech and offensive language,comment too short and not sure what needs to be done,Hate speech and offensive language,comment too short and not sure what needs to be done,0
3246c910-edc5-4a19-a587-0cbcced72c21::1,"Just clear slurs and pure hatred, zero reason to not suspend this account, this is literally indefensible.",Consistent offensive behavior; Hate speech and offensive language,Extreme offensive; Hate speech and offensive language; Obvious an clear suspension; unjustifiable,Consistent offensive behavior,Extreme offensive; Obvious an clear suspension; unjustifiable,1
3887d13a-2522-48e4-930f-24545d0aeb9e::2,death threats should be taken seriously no matter the platform one is on,Threats of violence,Threats of violence; negative consequences,,negative consequences,1
fd39d70c-f8e4-42b5-856b-08f44020686c::1,Wishing death or threatening death or telling someone to die should result in an automatic suspension.,Death wish,Death wish; Threats of violence; one message is enough (offensive),,Threats of violence; one message is enough (offensive),1
fd39d70c-f8e4-42b5-856b-08f44020686c::2,The first mention of killing someone results in an automatic suspension.,Threats of violence,Obvious an clear suspension; Threats of violence; one message is enough (offensive),,Obvious an clear suspension; one message is enough (offensive),1
fd39d70c-f8e4-42b5-856b-08f44020686c::3,"This account has made multiple hate comments.  They are hateful, offensive, and discriminatory.  It should not be permitted.",Consistent offensive behavior; Hate speech and offensive language,Consistent offensive behavior; Hate speech and offensive language; unjustifiable,,unjustifiable,2
69b51fa6-db47-4b8d-b55c-8b5ffc4be1a5::2,This account was frequently abusive to others and actually threatened to shoot someone.,Consistent offensive behavior; Threats of violence,Consistent offensive behavior; Harm other person; Threats of violence,,Harm other person,2
