round_number,unit_id,unit_text,theme,code,scope,start_offset,end_offset,quote,adjudication_status,note,resolved_by,updated_at
1,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Type of offensiveness,derogatory remarks,span,121,159,used derogatory language towards them.,resolved,,subham,Mon Sep 07 2026 21:04:51 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Patterns of behavior,one message is enough (offensive),span,160,248,"In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",resolved,,subham,Mon Sep 07 2026 21:04:51 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::5,None of their messages stood out as negative. They were polite even in the posts where they seemed to be having conflicts. They used respectful language in all of the posts I viewed.,Type of offensiveness,No offensive content,span,0,45,None of their messages stood out as negative.,resolved,,subham,Wed Sep 09 2026 20:53:31 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::5,None of their messages stood out as negative. They were polite even in the posts where they seemed to be having conflicts. They used respectful language in all of the posts I viewed.,,positive content,span,46,122,They were polite even in the posts where they seemed to be having conflicts.,resolved,,subham,Wed Sep 09 2026 20:53:31 GMT+0000 (Coordinated Universal Time)
1,043d2678-387c-463e-8ec8-0bb3314063b9::5,None of their messages stood out as negative. They were polite even in the posts where they seemed to be having conflicts. They used respectful language in all of the posts I viewed.,,positive content,span,123,182,They used respectful language in all of the posts I viewed.,resolved,,subham,Wed Sep 09 2026 20:53:31 GMT+0000 (Coordinated Universal Time)
1,05c044b6-fa17-4dae-b49b-5a2f9a9b0fc5::1,"This account has made offensive comments that I consider serious. Therefore, it should be suspended.",Type of offensiveness,Hate speech and offensive language,span,0,40,This account has made offensive comments,resolved,,subham,Wed Sep 09 2026 21:43:09 GMT+0000 (Coordinated Universal Time)
1,05c044b6-fa17-4dae-b49b-5a2f9a9b0fc5::5,"After reading several comments on this account I did not find any that were offensive, so I am not considering suspending it.",Type of offensiveness,No offensive content,span,0,85,After reading several comments on this account I did not find any that were offensive,resolved,,subham,Mon Sep 07 2026 20:20:17 GMT+0000 (Coordinated Universal Time)
1,061fa554-a6f7-4f7a-80ec-711db5c38a4c::3,more often than not comments from this account featured hate speech,Patterns of behavior,Consistent offensive behavior,unit,,,,resolved,,subham,Mon Sep 07 2026 20:58:28 GMT+0000 (Coordinated Universal Time)
1,061fa554-a6f7-4f7a-80ec-711db5c38a4c::3,more often than not comments from this account featured hate speech,Patterns of behavior,Majority offesnive,span,0,46,more often than not comments from this account,resolved,,subham,Mon Sep 07 2026 20:58:28 GMT+0000 (Coordinated Universal Time)
1,061fa554-a6f7-4f7a-80ec-711db5c38a4c::3,more often than not comments from this account featured hate speech,Type of offensiveness,Hate speech and offensive language,span,47,67,featured hate speech,resolved,,subham,Mon Sep 07 2026 20:58:28 GMT+0000 (Coordinated Universal Time)
1,06e8469e-271d-4f06-8019-e49e17f01c6b::2,Bring people down by name calling then telling people they want to kill someone. This person needs to be on some type of watch list if not in some mental health rehab.,Type of offensiveness,Death wish,span,26,79,calling then telling people they want to kill someone,resolved,,subham,Mon Sep 07 2026 20:46:40 GMT+0000 (Coordinated Universal Time)
1,06e8469e-271d-4f06-8019-e49e17f01c6b::2,Bring people down by name calling then telling people they want to kill someone. This person needs to be on some type of watch list if not in some mental health rehab.,Decision outcomes,Consequences beyond suspencion,span,81,167,This person needs to be on some type of watch list if not in some mental health rehab.,resolved,,subham,Mon Sep 07 2026 20:46:40 GMT+0000 (Coordinated Universal Time)
1,072b5771-c2f1-44fc-a979-f0bb4a65af83::1,I believe using bad words is not accepted in our society. Due to that i chose that option.,Type of offensiveness,Hate speech and offensive language,span,0,57,I believe using bad words is not accepted in our society.,resolved,,subham,Wed Sep 09 2026 21:03:05 GMT+0000 (Coordinated Universal Time)
1,072b5771-c2f1-44fc-a979-f0bb4a65af83::4,My responds is that the tweets are very offensive for human as it might lead to death and or suicidal.,Type of offensiveness,Hate speech and offensive language,span,0,49,My responds is that the tweets are very offensive,resolved,,subham,Wed Sep 09 2026 21:40:46 GMT+0000 (Coordinated Universal Time)
1,072b5771-c2f1-44fc-a979-f0bb4a65af83::4,My responds is that the tweets are very offensive for human as it might lead to death and or suicidal.,Type of offensiveness,Harm other person,span,72,102,lead to death and or suicidal.,resolved,,subham,Wed Sep 09 2026 21:40:46 GMT+0000 (Coordinated Universal Time)
1,080dfc47-4146-4285-9449-05ee749c3449::4,"They were not offensive, the two messages talks about excitement and messages that are not appropriate in society, and such a message has been blocked. That's why I did not suspend it. It was a message that carried good words and not bad words at all",Type of offensiveness,No offensive content,span,0,24,"They were not offensive,",resolved,,subham,Wed Sep 09 2026 20:53:07 GMT+0000 (Coordinated Universal Time)
1,080dfc47-4146-4285-9449-05ee749c3449::4,"They were not offensive, the two messages talks about excitement and messages that are not appropriate in society, and such a message has been blocked. That's why I did not suspend it. It was a message that carried good words and not bad words at all",,positive content,span,25,113,the two messages talks about excitement and messages that are not appropriate in society,resolved,,subham,Wed Sep 09 2026 20:53:07 GMT+0000 (Coordinated Universal Time)
1,080dfc47-4146-4285-9449-05ee749c3449::4,"They were not offensive, the two messages talks about excitement and messages that are not appropriate in society, and such a message has been blocked. That's why I did not suspend it. It was a message that carried good words and not bad words at all",,positive content,span,152,250,That's why I did not suspend it. It was a message that carried good words and not bad words at all,resolved,,subham,Wed Sep 09 2026 20:53:07 GMT+0000 (Coordinated Universal Time)
1,085d298b-177c-4887-9819-8f10cad90ff4::4,It took a few tweets to see how this person behaved. I stand my my suspension as they threaten on the last message.,Patterns of behavior,Consistent offensive behavior,span,0,52,It took a few tweets to see how this person behaved.,resolved,,subham,Wed Sep 09 2026 21:03:22 GMT+0000 (Coordinated Universal Time)
1,085d298b-177c-4887-9819-8f10cad90ff4::4,It took a few tweets to see how this person behaved. I stand my my suspension as they threaten on the last message.,Type of offensiveness,Threats of violence,span,55,94,stand my my suspension as they threaten,resolved,,subham,Wed Sep 09 2026 21:03:22 GMT+0000 (Coordinated Universal Time)
1,0860c28d-eaaa-48ea-bd88-a46b9da590f5::2,Glorifying violence. Easy ban.,Type of offensiveness,Threats of violence,span,0,19,Glorifying violence,resolved,,subham,Mon Sep 07 2026 20:48:27 GMT+0000 (Coordinated Universal Time)
1,0860c28d-eaaa-48ea-bd88-a46b9da590f5::3,Vulgar slur in the initial sentence (zero tolerance policy). Follow up sentence just supports my claim. Repeated slur.,Type of offensiveness,Hate speech and offensive language,span,0,60,Vulgar slur in the initial sentence (zero tolerance policy).,resolved,,subham,Wed Sep 09 2026 20:52:12 GMT+0000 (Coordinated Universal Time)
1,0860c28d-eaaa-48ea-bd88-a46b9da590f5::3,Vulgar slur in the initial sentence (zero tolerance policy). Follow up sentence just supports my claim. Repeated slur.,Patterns of behavior,Consistent offensive behavior,span,61,118,Follow up sentence just supports my claim. Repeated slur.,resolved,,subham,Wed Sep 09 2026 20:52:12 GMT+0000 (Coordinated Universal Time)
1,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Death wish,unit,,,,resolved,,subham,Mon Sep 07 2026 20:49:16 GMT+0000 (Coordinated Universal Time)
1,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Hate speech and offensive language,span,0,10,Used slurs,resolved,,subham,Mon Sep 07 2026 20:49:16 GMT+0000 (Coordinated Universal Time)
1,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Threats of violence,span,12,60,threatened people with shooting them in the head,resolved,,subham,Mon Sep 07 2026 20:49:16 GMT+0000 (Coordinated Universal Time)
1,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Death wish,span,116,138,Literal death threats.,resolved,,subham,Mon Sep 07 2026 20:49:16 GMT+0000 (Coordinated Universal Time)
1,0c73444e-3aa6-4262-a969-968101a66c75::3,"Offending words, also discrimination should not be tolerated.",Type of offensiveness,Hate speech and offensive language,span,0,61,"Offending words, also discrimination should not be tolerated.",resolved,,subham,Mon Sep 07 2026 21:01:07 GMT+0000 (Coordinated Universal Time)
1,0c73444e-3aa6-4262-a969-968101a66c75::4,"There was one message that was offensive, but overall this person does not seem to have bad intentions.",Patterns of behavior,One-off offensive,span,0,40,There was one message that was offensive,resolved,,subham,Mon Sep 07 2026 20:20:22 GMT+0000 (Coordinated Universal Time)
1,0c73444e-3aa6-4262-a969-968101a66c75::4,"There was one message that was offensive, but overall this person does not seem to have bad intentions.",Justifications,Appeal to intent,span,42,103,but overall this person does not seem to have bad intentions.,resolved,,subham,Mon Sep 07 2026 20:20:22 GMT+0000 (Coordinated Universal Time)
1,0ffbd9e8-1b9f-49dc-9037-61c90a1fcb14::2,"Immediately saw the graphic death threat and decided to suspend. After having done two accounts already, I felt justified suspending without looking at other messages.",Patterns of behavior,one message is enough (offensive),unit,,,,resolved,,subham,Wed Sep 09 2026 20:53:18 GMT+0000 (Coordinated Universal Time)
1,0ffbd9e8-1b9f-49dc-9037-61c90a1fcb14::2,"Immediately saw the graphic death threat and decided to suspend. After having done two accounts already, I felt justified suspending without looking at other messages.",Type of offensiveness,Death wish,span,0,40,Immediately saw the graphic death threat,resolved,,subham,Wed Sep 09 2026 20:53:18 GMT+0000 (Coordinated Universal Time)
1,104190a0-7c07-43df-8917-bc03a45a7148::4,Threatening to kill someone with a gun is at minimum a suspension.,Type of offensiveness,Threats of violence,span,0,38,Threatening to kill someone with a gun,resolved,,subham,Wed Sep 09 2026 21:38:10 GMT+0000 (Coordinated Universal Time)
1,104190a0-7c07-43df-8917-bc03a45a7148::5,"Person didn't say anything offensive and didn't attack anyone. Going through 4 messages, they all seemed very innocent.",Type of offensiveness,No offensive content,span,0,62,Person didn't say anything offensive and didn't attack anyone.,resolved,,subham,Wed Sep 09 2026 20:54:21 GMT+0000 (Coordinated Universal Time)
1,104190a0-7c07-43df-8917-bc03a45a7148::5,"Person didn't say anything offensive and didn't attack anyone. Going through 4 messages, they all seemed very innocent.",Patterns of behavior,Normal behavior,span,63,119,"Going through 4 messages, they all seemed very innocent.",resolved,,subham,Wed Sep 09 2026 20:54:21 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Type of offensiveness,Death wish,span,0,49,This person was wishing death on multiple beings.,resolved,,subham,Mon Sep 07 2026 21:00:51 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Type of offensiveness,Hate speech and offensive language,span,51,132,hey were also using slurs on multiple occasions and coming after multiple people.,resolved,,subham,Mon Sep 07 2026 21:00:51 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Type of offensiveness,Threats of violence,span,133,184,They seemed violent and unstable and it kept going.,resolved,,subham,Mon Sep 07 2026 21:00:51 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::3,"They used multiple slurs, attacking multiple groups of people. They did have some ""normal"" post but basically every other post was attacking someone and using slurs. They even were wishing death on someone.",Type of offensiveness,Hate speech and offensive language,span,0,24,They used multiple slurs,resolved,,subham,Wed Sep 09 2026 21:41:14 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::3,"They used multiple slurs, attacking multiple groups of people. They did have some ""normal"" post but basically every other post was attacking someone and using slurs. They even were wishing death on someone.",Type of offensiveness,Threats of violence,span,26,62,attacking multiple groups of people.,resolved,,subham,Wed Sep 09 2026 21:41:14 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::3,"They used multiple slurs, attacking multiple groups of people. They did have some ""normal"" post but basically every other post was attacking someone and using slurs. They even were wishing death on someone.",Patterns of behavior,Majority offesnive,span,64,148,"hey did have some ""normal"" post but basically every other post was attacking someone",resolved,,subham,Wed Sep 09 2026 21:41:14 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::3,"They used multiple slurs, attacking multiple groups of people. They did have some ""normal"" post but basically every other post was attacking someone and using slurs. They even were wishing death on someone.",Type of offensiveness,Death wish,span,181,206,wishing death on someone.,resolved,,subham,Wed Sep 09 2026 21:41:14 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Patterns of behavior,Normal behavior,span,0,39,"While their first 2 posts were ""normal""",resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Patterns of behavior,one message is enough (offensive),span,41,101,the 3rd was enough to think that they needed to be suspended,resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Decision outcomes,Consequences beyond suspencion,span,106,147,probably even reported to law enforcement,resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Decision outcomes,"need to contact police, or authorities.",span,115,148,even reported to law enforcement.,resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Type of offensiveness,Death wish,span,149,176,They didn't just wish death,resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Type of offensiveness,Threats of violence,span,180,222,someone but made an actual threat themself,resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,11e61552-c9e7-4fed-af65-15046c58d52f::4,"While their first 2 posts were ""normal"", the 3rd was enough to think that they needed to be suspended and probably even reported to law enforcement. They didn't just wish death on someone but made an actual threat themself. Also, used a slur.",Type of offensiveness,Hate speech and offensive language,span,224,242,"Also, used a slur.",resolved,,subham,Wed Sep 09 2026 20:52:17 GMT+0000 (Coordinated Universal Time)
1,147e86b7-9d82-4fa6-8053-79beb1fb042e::1,"shows a clear insult to other people, for this problem your account will be suspended for a period of time",Type of offensiveness,Hate speech and offensive language,span,0,37,"shows a clear insult to other people,",resolved,,subham,Mon Sep 07 2026 21:02:20 GMT+0000 (Coordinated Universal Time)
1,15ca9f16-8eb2-4934-908f-c8131460b85b::2,This person seemed like an angry punk and was directing vicious threats at other members. Not acceptable.,Justifications,Poster is a bad person,span,19,37,like an angry punk,resolved,,subham,Mon Sep 07 2026 21:01:37 GMT+0000 (Coordinated Universal Time)
1,15ca9f16-8eb2-4934-908f-c8131460b85b::2,This person seemed like an angry punk and was directing vicious threats at other members. Not acceptable.,Type of offensiveness,Threats of violence,span,56,89,vicious threats at other members.,resolved,,subham,Mon Sep 07 2026 21:01:37 GMT+0000 (Coordinated Universal Time)
1,15ca9f16-8eb2-4934-908f-c8131460b85b::4,"While the first messages were fine, the third threatened murder and used unacceptable language.",Type of offensiveness,Threats of violence,span,36,63,the third threatened murder,resolved,,subham,Wed Sep 09 2026 20:53:48 GMT+0000 (Coordinated Universal Time)
1,15ca9f16-8eb2-4934-908f-c8131460b85b::4,"While the first messages were fine, the third threatened murder and used unacceptable language.",Type of offensiveness,Hate speech and offensive language,span,68,95,used unacceptable language.,resolved,,subham,Wed Sep 09 2026 20:53:48 GMT+0000 (Coordinated Universal Time)
1,17bc2b94-f557-4770-bec1-ab1715b8678d::3,Name calling and close minded posts that add no value to any conversation.,Type of offensiveness,Hate speech and offensive language,span,0,35,Name calling and close minded posts,resolved,,subham,Mon Sep 07 2026 21:05:25 GMT+0000 (Coordinated Universal Time)
1,17bc2b94-f557-4770-bec1-ab1715b8678d::4,"Might be a bit close off to others opinions but not mean spirited, just frustration.",Type of offensiveness,No offensive content,span,0,84,"Might be a bit close off to others opinions but not mean spirited, just frustration.",resolved,,subham,Wed Sep 09 2026 21:42:19 GMT+0000 (Coordinated Universal Time)
1,17bc2b94-f557-4770-bec1-ab1715b8678d::5,A thoughtful person aware and co siderate of others.,Positive content,Calm and thoughtful,span,0,52,A thoughtful person aware and co siderate of others.,resolved,,subham,Mon Sep 07 2026 20:49:30 GMT+0000 (Coordinated Universal Time)
1,19957cb7-91aa-4873-a122-ac2789b4260d::2,Ver negative comment,Type of offensiveness,Hate speech and offensive language,unit,,,,resolved,,subham,Mon Sep 07 2026 21:00:35 GMT+0000 (Coordinated Universal Time)
1,1bc0fc0a-0cf5-4c30-8056-53bc860179f0::3,2 of the 3 messages were offensive.,Patterns of behavior,Majority offesnive,unit,,,,resolved,,subham,Mon Sep 07 2026 21:05:29 GMT+0000 (Coordinated Universal Time)
1,1e729b97-110b-416a-9398-8f7e0a984dcc::2,There was a lot of offensive language and slurs used along with threats of violence. This account should not be allowed to continue to post.,Patterns of behavior,Consistent offensive behavior,span,0,18,There was a lot of,resolved,,subham,Wed Sep 09 2026 21:39:11 GMT+0000 (Coordinated Universal Time)
1,1e729b97-110b-416a-9398-8f7e0a984dcc::2,There was a lot of offensive language and slurs used along with threats of violence. This account should not be allowed to continue to post.,Type of offensiveness,Hate speech and offensive language,span,19,47,offensive language and slurs,resolved,,subham,Wed Sep 09 2026 21:39:11 GMT+0000 (Coordinated Universal Time)
1,1e729b97-110b-416a-9398-8f7e0a984dcc::2,There was a lot of offensive language and slurs used along with threats of violence. This account should not be allowed to continue to post.,Type of offensiveness,Threats of violence,span,53,84,along with threats of violence.,resolved,,subham,Wed Sep 09 2026 21:39:11 GMT+0000 (Coordinated Universal Time)
1,1e990395-3db9-47d5-a2ae-f030a438b729::1,Violation of hate speech used in message.,Type of offensiveness,Hate speech and offensive language,span,0,29,Violation of hate speech used,resolved,,subham,Mon Sep 07 2026 20:58:33 GMT+0000 (Coordinated Universal Time)
1,1e990395-3db9-47d5-a2ae-f030a438b729::2,Threatening another person to commit violence/murder.,Type of offensiveness,Threats of violence,span,0,53,Threatening another person to commit violence/murder.,resolved,,subham,Wed Sep 09 2026 21:03:08 GMT+0000 (Coordinated Universal Time)
1,1e990395-3db9-47d5-a2ae-f030a438b729::4,Threatening another person to commit violence/murder with a gun.,Type of offensiveness,Threats of violence,span,0,64,Threatening another person to commit violence/murder with a gun.,resolved,,subham,Mon Sep 07 2026 20:59:53 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Hate speech and offensive language,span,0,23,"use of insulting words,",resolved,,subham,Mon Sep 07 2026 21:05:00 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Threats of violence,span,31,48,threatening words,resolved,,subham,Mon Sep 07 2026 21:05:00 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Hate speech and offensive language,span,65,84,dehumanizing words.,resolved,,subham,Mon Sep 07 2026 21:05:00 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::1,"use of insulting words, use of threatening words and also use of dehumanizing words. showed signs of an animal hater and one that can kill a fellow individual.",Type of offensiveness,Death wish,span,85,159,showed signs of an animal hater and one that can kill a fellow individual.,resolved,,subham,Mon Sep 07 2026 21:05:00 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::4,"although there was use of a certain degree of bad words in the third message, the first two messages were kind",Patterns of behavior,One-off offensive,span,0,77,"although there was use of a certain degree of bad words in the third message,",resolved,,subham,Mon Sep 07 2026 21:05:18 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::4,"although there was use of a certain degree of bad words in the third message, the first two messages were kind",,positive content,span,78,110,the first two messages were kind,resolved,,subham,Mon Sep 07 2026 21:05:18 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::5,"there was no use of bad words, the user spoke in an understanding manner and made points without hurting or insulting anyone.",Patterns of behavior,Normal behavior,unit,,,,resolved,,subham,Mon Sep 07 2026 20:12:28 GMT+0000 (Coordinated Universal Time)
1,1eab6aa4-af12-4ebc-9267-9a9a46554aa8::5,"there was no use of bad words, the user spoke in an understanding manner and made points without hurting or insulting anyone.",Justifications,Not too offensive,unit,,,,resolved,,subham,Mon Sep 07 2026 20:12:28 GMT+0000 (Coordinated Universal Time)
1,20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Type of offensiveness,Hate speech and offensive language,span,0,47,Every message used extremely offensive language,resolved,,subham,Mon Sep 07 2026 20:59:48 GMT+0000 (Coordinated Universal Time)
1,20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Type of offensiveness,Extreme offensive,span,19,47,extremely offensive language,resolved,,subham,Mon Sep 07 2026 20:59:48 GMT+0000 (Coordinated Universal Time)
1,20495eb2-b21b-4955-8a97-0020aae12c29::1,Every message used extremely offensive language and one threatened an animal.,Type of offensiveness,Threats of violence,span,56,77,threatened an animal.,resolved,,subham,Mon Sep 07 2026 20:59:48 GMT+0000 (Coordinated Universal Time)
1,208559c2-6d8a-4abe-a680-1ff1d4748c20::2,"Most of the account message where offensive , its appears to be a standard behavior of the account.",Patterns of behavior,Majority offesnive,span,0,43,Most of the account message where offensive,resolved,,subham,Mon Sep 07 2026 20:48:00 GMT+0000 (Coordinated Universal Time)
1,208559c2-6d8a-4abe-a680-1ff1d4748c20::2,"Most of the account message where offensive , its appears to be a standard behavior of the account.",Patterns of behavior,Consistent offensive behavior,span,46,99,its appears to be a standard behavior of the account.,resolved,,subham,Mon Sep 07 2026 20:48:00 GMT+0000 (Coordinated Universal Time)
1,209a2e51-8511-44f6-8bc1-5df8aff3fa19::1,They are very vulgar words that deserve suspending the account,Type of offensiveness,Hate speech and offensive language,span,0,62,They are very vulgar words that deserve suspending the account,resolved,,subham,Mon Sep 07 2026 20:47:43 GMT+0000 (Coordinated Universal Time)
1,209a2e51-8511-44f6-8bc1-5df8aff3fa19::1,They are very vulgar words that deserve suspending the account,Type of offensiveness,derogatory remarks,span,14,50,vulgar words that deserve suspending,resolved,,subham,Mon Sep 07 2026 20:47:43 GMT+0000 (Coordinated Universal Time)
