theme,code,definition,inclusion,exclusion,example
Patterns of behavior,Troll or bot,If the user assess that the account posting this is not real and is a bot or troll.,,,This appears to be a classic hate-filled troll account
Patterns of behavior,Majority offesnive,"Apply when the comments states or implies that most of the reviewed messages are offensive, even if some messages are non-offensive.",They state or imply that most / the majority / the vast majority of reviewed messages are offensive.,Not when they only note a mix without a majority. Can sit next to Consistent offensive behavior.,"The vast majority of the comments I saw from this account were offensive, hence my decision."
Patterns of behavior,Normal behavior,"Apply when the comments characterizes the account's overall behavior as normal, ordinary, appropriate, or generally non-problematic.","They characterise the account as normal, ordinary, typical, or generally non-problematic.","Not when they only say nothing was offensive (use No offensive content). 'Just a normal person's account' is this code, not No offensive content.",The majority of the messages from this account are not offensive and are random pieces of conversation.
Patterns of behavior,Mix of offensive and non-offensive,when they recognize that both offensive and non-offensive were present.,They explicitly recognise that both offensive and non-offensive messages were present as a mix.,Not when a few calm/thoughtful posts sit next to offensive ones (use Calm and thoughtful plus the offensiveness code). Not when most are offensive (Majority offesnive). Not with Normal behavior.,There was a mix of offensive and not offensive messages but the offensive ones were worthy of suspension
Patterns of behavior,one message is enough (offensive),This one message is so offensive that it's enough to suspend.,They say one single message was so offensive that it was enough to suspend.,Not when they reviewed several messages that were all bad (use Consistent offensive behavior). Not a general 'automatic suspension' policy about any first mention of violence.,This account is a case of one message being enough to suspend the entire account
Justifications,Contextual understanding,"Appeals to context: that the content was misread, that it was normal for the setting, or that more context would be needed to judge.","Need more context, banter, misread, or the situation is not serious enough.","Intent/humour/venting is Appeal to intent, not this.","Although a comment seemed offensive, it was part of normal banter."
Justifications,Appeal to intent,"Interprets the poster's intent or state of mind — humour, venting, a difficult period, or the capacity to change.","Attributing the message to a mood or motive rather than to character, or extending the benefit of the doubt.",,The user's intention seems more humorous than harmful.
Justifications,Not too offensive,"The person recognizes that the user is offensive, but the offense is does not reach a threshold.",,,While unfortunate it just wasn't enough to fully suspend the account
Justifications,negative consequences,"When reviewer mentions that the comment has negative consequences and harm outside of the context of the social media. Such as harm, hostile environment, etc.",,,"Such messages are not only offensive but also potentially harmful, and they create a hostile environment."
Justifications,Poster is a bad person,"When they don't talk about the post, but also the person who posts it as a bad person.","They judge the person ('horrible person', 'angry punk', 'bad poster'), not only the posts.",Do not add this just because the content is hateful.,A horrible hateful person
Justifications,Could be joking,when they say this might be a joke.,,,"I get the first one could be considered banter to an extent,"
Justifications,Moral reasoning,Talks about free speech.,,,believe in free speech
Justifications,unjustifiable,When they say the behavior can't be justified. Even though there are normal messages too.,,,I think they have potential to be better but they said waaay too many awful things to justify.
Reflection on the decision,Expressed uncertainty,Reports a lack of confidence in the decision that was just made.,"Lack of confidence, not enough information, or the decision felt iffy.",Not Would revise the decision unless they say they would now choose differently.,I wasn't 100 percent confident on my decision.
Reflection on the decision,Would revise the decision,"On reflection, says they would now decide differently.",,,"Looking back now, I think I should've suspended this account."
Reflection on the decision,References the recommendation,Mentions the AI or crowd label as a reason for the decision. The paper reports finding no such mentions; the code exists so that absence can be demonstrated rather than assumed.,"Any reference to what the AI said, or to what other people thought.",,(the paper reports no instances of this in the data)
Reflection on the decision,Need to know policy and TOS,Asking for more certainty through TOS and policies of the platform,"They mention policies, terms of service, TOS, or community guidelines as something they lack or are using as the standard.",Not the same as Expressed uncertainty unless they also report lack of confidence.,"I don't know the policies for this presumed platform, so I have to go by what I think is no good."
Reflection on the decision,Needed to look at more messages,when they say they should have or needed to look at more messages.,,,"I should have kept going to see more messages, but I felt as though 3 messages with no clear signs of any wrong doing would put this person in the clear."
Reflection on the decision,Not offensive at all,Apply when the comments states that the reviewed content is entirely non-offensive or does not contain material they consider offensive.,,,second message is not offensive at all.
Reflection on the decision,Obvious an clear suspension,"when they are certain on the decision to suspend. Clear, obvious, etc.","They call the suspension decision itself obvious, clear, or certain.",Rare. 'Pretty clear the content is bad' or 'had to be taken off the platform' is not this — use the offensiveness code and Permanent ban if they name removal.,Use of strong offensive profanities and talks about brutally murdering someone. It's an obvious suspension
Decision outcomes,Temporary suspension,"Not full ban, but some disciplinary outcome, like a temporary ban.",,,tempororary ban
Decision outcomes,Permanent ban,Something more extreme than suspension,"They want the account taken off the platform, terminated, permanently banned, or not allowed to continue posting.",'Should be suspended' is not this code. Not Obvious an clear suspension.,"Death threats should mean account termination, not just suspension."
Decision outcomes,Consequences beyond suspencion,"when the user mentions the outcome should be beyond banning, leading to arrest, mental health institution, or the like.","Outcome beyond banning: police, arrest, therapy, watch list, mental health, investigation, or 'more than suspension'.","A named police/authorities contact also takes 'need to contact police, or authorities.'",This warrants more than suspension. It should be investigated.
Decision outcomes,Ban if behavior continues,Talks about need to see if offensive behavior repeats,,,"I should have reviewed more to see if that type of communication continued. If so, a definite suspend."
Decision outcomes,Do not suspend,Apply when the reviewer explicitly decides or recommends that the account should not be suspended.,"They explicitly recommend that the account should not be suspended, as a decision outcome.","Extremely rare. Saying they did not suspend, or 'no reason to suspend', is usually No offensive content, not this code.",there is no reason to suspend the account.
Decision outcomes,"need to contact police, or authorities.","when they say because of the word, authorities should be contacted.",,,even reported to law enforcement.
Positive content,Calm and thoughtful,when specific talks about calm and thoughtful,"They call the messages or person calm, thoughtful, eloquent, genuine, supportive, considerate, uplifting, or 'nice and cool'.",Humans never combined this with No offensive content — prefer this code over No offensive content. Not merely 'inoffensive'.,This account has posts that seem genuine and supportive
Positive content,Personal opinions and thoughts,"Apply when the comments interprets the content primarily as an expression of personal opinions, beliefs, or thoughts rather than as actionable misconduct.","They read the posts as opinions, thoughts, or stating a fact rather than misconduct.",Do not also add positive content. Do not add No offensive content unless they also say nothing was offensive.,Looks like someone expressing their thoughts online. No reason to suspend them.
Positive content,positive content,"Apply when the comments identifies the content as positive, supportive, friendly, constructive, encouraging, or otherwise beneficial in tone or intent.","They identify the content as positive, complementary, grateful, supportive, or good words.","Not with Personal opinions and thoughts. 'No reason to suspend' alone is No offensive content, not this.","Sometimes, opportunity comes from grat people"
